tokenID;name;description;fee_recipient;seller_fee_basis_points;file_name;image;external_url;attributes[Frame];attributes[Background];attributes[Holy Smoke];attributes[Darkness And Light];attributes[Bit];attributes[Cock Ring];attributes[Cum Shot];Dna
11;BiT #11;BiT #11  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;11.png;https://opensea.io/collection/bit-69/11.png;https://TattooCalypso.com/NFTs;Rare Deep Magenta;Turquoise Relic;Common Orange Sift;Common Green Dream;Common Lolypop;Rare Vert De Gris;Common Point Blanc;38879f735ac0650aae6b738159bfcae6
12;BiT #12;BiT #12  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;12.png;https://opensea.io/collection/bit-69/12.png;https://TattooCalypso.com/NFTs;Common Corroded;Common Atomik Yellow;Mellow Yellow Relic;Common Light And Dark;Common Naturtal;Common Cool Gray;Common Right Handed;c6f22017f97f5bd2ea362b3ec34f8ed5
13;BiT #13;BiT #13  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;13.png;https://opensea.io/collection/bit-69/13.png;https://TattooCalypso.com/NFTs;Common Corroded;Common Alpha Blue;Rare Lily Myst;Common Green Dream;Common Lolypop;Lavender Relic;Common Point Blanc;b1f8b81d342e9f271da8db1a25116c8d
14;BiT #14;BiT #14  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;14.png;https://opensea.io/collection/bit-69/14.png;https://TattooCalypso.com/NFTs;Leviathan Purple Relic;Common Alpha Blue;Common Orange Sift;Rare Black Corners;Rare Miss Piggy Bit;Common Frog;Come On Relic;eb09394dce4bf38d6d357a41d69af888
15;BiT #15;BiT #15  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;15.png;https://opensea.io/collection/bit-69/15.png;https://TattooCalypso.com/NFTs;Leviathan Purple Relic;Common Atomik Yellow;Mellow Yellow Relic;Ocean Spray Relic;Common Naturtal;Rare Flamboyant Orange;Legendary Fireman;20d7411bcbcedbd9122145d7555bc3e7
16;BiT #16;BiT #16  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;16.png;https://opensea.io/collection/bit-69/16.png;https://TattooCalypso.com/NFTs;Legendary Royal Blue;Legendary Papaya Pink;Common Rosee;Common Light And Dark;Rare Smurf Bit;Common Frog;Common Right Handed;4eed66ee51cb427718ac69e3262ce56b
17;BiT #17;BiT #17  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;17.png;https://opensea.io/collection/bit-69/17.png;https://TattooCalypso.com/NFTs;Common Chocolate;Rare Panty Pink;Mellow Yellow Relic;Common Green Dream;Legendary Zombi;Lavender Relic;Common Point Blanc;8d89a2611972ac0010ad543e938f0570
18;BiT #18;BiT #18  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;18.png;https://opensea.io/collection/bit-69/18.png;https://TattooCalypso.com/NFTs;Rare Abyss Blue;Rare Panty Pink;Common Rosee;Common Green Dream;Common Naturtal;Common Frog;Interrupted Coitus Relic;bc438cacabf5a9c70fb5ecaba20c20e5
19;BiT #19;BiT #19  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;19.png;https://opensea.io/collection/bit-69/19.png;https://TattooCalypso.com/NFTs;Rare Deep Magenta;Common Alpha Blue;Legendary Euphoria Blue;Common Green Dream;Common Lolypop;Common Frog;Rare Left Handed;787f0e1ac9b6cc53e8c21796d835b7db
20;BiT #20;BiT #20  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;20.png;https://opensea.io/collection/bit-69/20.png;https://TattooCalypso.com/NFTs;Common Chocolate;Rare Panty Pink;Rare Lily Myst;Ocean Spray Relic;Common Lolypop;Common Cool Gray;Common Point Blanc;060af355feca96772b3247da08d59afb
21;BiT #21;BiT #21  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;21.png;https://opensea.io/collection/bit-69/21.png;https://TattooCalypso.com/NFTs;Common Chocolate;Common Atomik Yellow;Rare Sex Bomb;Common Light And Dark;Common Naturtal;Lavender Relic;Common Point Blanc;7e98b6953d6e7c10612ae72be77a7828
22;BiT #22;BiT #22  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;22.png;https://opensea.io/collection/bit-69/22.png;https://TattooCalypso.com/NFTs;Legendary Royal Blue;Common Alpha Blue;Common Orange Sift;Rare Black Corners;Common Lolypop;Common Kaki;Celestial Prince Albert;349c8ab3c4e7b17132d09db2f552bddf
23;BiT #23;BiT #23  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;23.png;https://opensea.io/collection/bit-69/23.png;https://TattooCalypso.com/NFTs;Common Chocolate;Rare Bumbelbee;Mellow Yellow Relic;Rare Black Corners;Common Lolypop;Common Cool Gray;Common Right Handed;497d938c0ceabfd28edcfe9c45f3576f
24;BiT #24;BiT #24  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;24.png;https://opensea.io/collection/bit-69/24.png;https://TattooCalypso.com/NFTs;Legendary Royal Blue;Rare Bumbelbee;Common Rosee;Rare Black Corners;Common Lolypop;Common Cool Gray;Legendary Fireman;a99f521c9a739aee1baf0d3f94b998c0
25;BiT #25;BiT #25  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;25.png;https://opensea.io/collection/bit-69/25.png;https://TattooCalypso.com/NFTs;Common Chocolate;Common Alpha Blue;Common Rosee;Ocean Spray Relic;Common Naturtal;Common Kaki;Rare Fountain;3769c0250c53b2791e1ecb8c9e383452
26;BiT #26;BiT #26  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;26.png;https://opensea.io/collection/bit-69/26.png;https://TattooCalypso.com/NFTs;Common Chocolate;Legendary Papaya Pink;Common Orange Sift;Ocean Spray Relic;Reddick Relic Bit;Emerald Relic;Rare Fountain;3b32fe36d91892f149652c0329e28b56
27;BiT #27;BiT #27  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;27.png;https://opensea.io/collection/bit-69/27.png;https://TattooCalypso.com/NFTs;Common Corroded;Common Atomik Yellow;Rare Sex Bomb;Common Light And Dark;Rare Smurf Bit;Common Kaki;Common Point Blanc;726ce6f323290695ab7d1365eac783e7
28;BiT #28;BiT #28  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;28.png;https://opensea.io/collection/bit-69/28.png;https://TattooCalypso.com/NFTs;Rare Deep Magenta;Common Alpha Blue;Common Orange Sift;Rare Black Corners;Reddick Relic Bit;Rare Vert De Gris;Legendary Fireman;c6fd66cced2dd5387cc69bb2c7a33cfb
29;BiT #29;BiT #29  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;29.png;https://opensea.io/collection/bit-69/29.png;https://TattooCalypso.com/NFTs;Leviathan Purple Relic;Rare Rare Apple Green;Common Rosee;Common Green Dream;Common Naturtal;Common Cool Gray;Common Right Handed;933fa4b9edea96e49f6326a9a0ee23a0
30;BiT #30;BiT #30  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;30.png;https://opensea.io/collection/bit-69/30.png;https://TattooCalypso.com/NFTs;Common Corroded;Common Atomik Yellow;Common Rosee;Rare Black Corners;Reddick Relic Bit;Emerald Relic;Common Point Blanc;acd904adb51bf144df69733ce066d71b
31;BiT #31;BiT #31  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;31.png;https://opensea.io/collection/bit-69/31.png;https://TattooCalypso.com/NFTs;Rare Abyss Blue;Rare Panty Pink;Common Rosee;Ocean Spray Relic;Common Naturtal;Rare Vert De Gris;Come On Relic;29119d0c43ebd17f51415c7a1d4fa9b6
32;BiT #32;BiT #32  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;32.png;https://opensea.io/collection/bit-69/32.png;https://TattooCalypso.com/NFTs;Common Chocolate;Common Alpha Blue;Rare Sex Bomb;Common Green Dream;Reddick Relic Bit;Common Cool Gray;Celestial Prince Albert;e7e73d9fc17b33b7b03f09189bd807dc
33;BiT #33;BiT #33  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;33.png;https://opensea.io/collection/bit-69/33.png;https://TattooCalypso.com/NFTs;Celestial Boreal Green;Rare Bumbelbee;Legendary Euphoria Blue;Rare Black Corners;Common Lolypop;Common Frog;Legendary Fireman;8edd7f9eee4200fde8de391ce0547e8d
34;BiT #34;BiT #34  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;34.png;https://opensea.io/collection/bit-69/34.png;https://TattooCalypso.com/NFTs;Rare Deep Magenta;Rare Rare Apple Green;Rare Sex Bomb;Common Light And Dark;Celestial Goldpecker;Legendary Pazuzu Blue;Rare Fountain;7e9df8f8a234731d46ff00e19381c053
35;BiT #35;BiT #35  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;35.png;https://opensea.io/collection/bit-69/35.png;https://TattooCalypso.com/NFTs;Common Corroded;Rare Rare Apple Green;Celestial Turkish Smoke;Common Green Dream;Rare Smurf Bit;Rare Vert De Gris;Common Point Blanc;cb8b84b3b0b40664625ae8f8587392b2
36;BiT #36;BiT #36  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;36.png;https://opensea.io/collection/bit-69/36.png;https://TattooCalypso.com/NFTs;Leviathan Purple Relic;Common Alpha Blue;Common Rosee;Common Green Dream;Common Lolypop;Lavender Relic;Common Right Handed;3efc525f347d0a480d5b5348b15cc2dd
37;BiT #37;BiT #37  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;37.png;https://opensea.io/collection/bit-69/37.png;https://TattooCalypso.com/NFTs;Common Corroded;Common Alpha Blue;Common Orange Sift;Rare Black Corners;Common Naturtal;Common Cool Gray;Common Right Handed;a31700f9420018966a33bd1a3e21f9c6
38;BiT #38;BiT #38  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;38.png;https://opensea.io/collection/bit-69/38.png;https://TattooCalypso.com/NFTs;Rare Deep Magenta;Common Alpha Blue;Common Orange Sift;Common Light And Dark;Purr Pull Relic Bit;Ron Jeremi;Common Right Handed;760a9d0a6840705aba197387c7f5913f
39;BiT #39;BiT #39  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;39.png;https://opensea.io/collection/bit-69/39.png;https://TattooCalypso.com/NFTs;Common Chocolate;Common Atomik Yellow;Rare Sex Bomb;Common Light And Dark;Common Lolypop;Lavender Relic;Legendary Fireman;ea70c8eb547f4eb681d7619f6addb889
40;BiT #40;BiT #40  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;40.png;https://opensea.io/collection/bit-69/40.png;https://TattooCalypso.com/NFTs;Common Chocolate;Common Atomik Yellow;Common Rosee;Ocean Spray Relic;Common Naturtal;Rare Cassanova Red;Common Point Blanc;c3f360b9b7d02a2d75001d4bd1863d07
41;BiT #41;BiT #41  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;41.png;https://opensea.io/collection/bit-69/41.png;https://TattooCalypso.com/NFTs;Leviathan Purple Relic;Common Alpha Blue;Mellow Yellow Relic;Ocean Spray Relic;Rare Smurf Bit;Common Kaki;Rare Fountain;2dec29a2614d17002cbb088363b89ae0
42;BiT #42;BiT #42  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;42.png;https://opensea.io/collection/bit-69/42.png;https://TattooCalypso.com/NFTs;Legendary Royal Blue;Legendary Papaya Pink;Rare Sex Bomb;Ocean Spray Relic;Common Naturtal;Emerald Relic;Celestial Prince Albert;bb5b0aa235d2a54a30aa7a6074c76279
43;BiT #43;BiT #43  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;43.png;https://opensea.io/collection/bit-69/43.png;https://TattooCalypso.com/NFTs;Rare Deep Magenta;Rare Bumbelbee;Common Orange Sift;Legendary Void;Reddick Relic Bit;Common Frog;Common Right Handed;576a8739ba38fdaa88b08e4a52f48e0c
44;BiT #44;BiT #44  - Slang for penis Bit Is a vulgar inside joke...  So Give a BiT and Get Some... Byte size BiTs... These are huge... 24x24 pixels. To me They represent  influence because Affirmation plants a seed in peoples mind like a penis (mic) in a womb... Some sort of bar language... Punk education 101... Imagery... When you fuck with crypto... Crypto Grows...;0x9Ae966E27df789AbeB8471ee3596731Bf00081ed;666;44.png;https://opensea.io/collection/bit-69/44.png;https://TattooCalypso.com/NFTs;Common Chocolate;Crimson Red Relic;Common Orange Sift;Rare Black Corners;Common Lolypop;Lavender Relic;Common Point Blanc;120e80aaa13e61634b57caa35ae9f2c5
